Job Title,Key Skills,Functional Area
 Digital Media Planner, Media Planning| Digital Media,"Marketing , Advertising , MR , PR , Media Planning"
 Online Bidding Executive, pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology,"Sales , Retail , Business Development"
 Trainee Research/ Research Executive- Hi- Tech Operations, Computer science| Fabrication| Quality check| Intellectual property| Electronics| Support services| Research| Management| Human resource management| Research Executive,"Engineering Design , R&D"
 Technical Support, Technical Support,"IT Software - Application Programming , Maintenance"
 Software Test Engineer -hyderabad, manual testing| test engineering| test cases| web testing| web technologies,IT Software - QA & Testing
 Opening For Adobe Analytics Specialist, adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst,"IT Software - Application Programming , Maintenance"
 Sales- Fresher-for Leading Property Consultant, channel partners| real estate| negotiation| property| Residential Sales,"Sales , Retail , Business Development"
 Opportunity For Azure Devops Architect For Hyderabad Location, TFS| Azure| Git| VSTS| Docker| DynaTrace| Splunk| AWS,"IT Software - Application Programming , Maintenance"
 BDE- PUNE, Bde,"Sales , Retail , Business Development"
 Technical Support/ Product Support, technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process,"ITES , BPO , KPO , LPO , Customer Service , Operations"
 Executive Assistant To Chairman, secretary| executive assistant| ea,"Strategy , Management Consulting , Corporate Planning"
 SEO Executive, website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining,"IT Software - eCommerce , Internet Technologies"
 Workflow Coordinator, operations| workflow| tat| monitoring| mts| email,"ITES , BPO , KPO , LPO , Customer Service , Operations"
Oracle IDAM,Oracle IDAM|OIM|OAM,"IT Software - Application Programming , Maintenance"
 Looking Facebook /social Media Manager For our Digital Marketing Ageny, digital marketing| seo| social media marketing| content marketing| email marketing| sem| google analytics| campaign management| facebook| media management,"Marketing , Advertising , MR , PR , Media Planning"
 Wanted Engineering Fresher For MNC Chennai, instrumentation engineering| electrical engineering| Engineering| fresher| Trainee| immediate| Mechanical Engineering| electronics engineering| undergraduate,Other
 Tooling & Sampling, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,"Engineering Design , R&D"
 Account Manager, Report Generation| Policies| analytical| procedures| Analysts| Data Entry| analytical skills,"Accounts , Finance , Tax , Company Secretary , Audit"
